worker_id,city,zone,primary_platform,secondary_platform,vehicle_type,avg_daily_hours,experience_weeks,avg_daily_income,avg_weekly_income,latitude,longitude,is_flood_zone,trust_score
GK-10000,Mumbai,Bandra,Swiggy,,Scooter,9.0,35,533.22,3146.89,19.038999,72.827551,False,0.933
GK-10001,Chennai,T. Nagar,Zepto,Swiggy,Bicycle,11.7,98,747.84,3977.39,12.856175,80.295486,False,0.916
GK-10002,Mumbai,Bandra,Zepto,Zomato,Bike,7.5,7,614.29,3635.23,19.131189,72.876153,False,0.646
GK-10003,Chennai,Mylapore,Swiggy,,Bicycle,7.1,7,561.39,3468.13,12.937643,80.204954,False,0.728
GK-10004,Mumbai,Borivali,Zepto,,Bicycle,7.6,73,1083.92,5525.37,19.011613,72.898981,False,0.585
GK-10005,Delhi,Saket,Zomato,,Scooter,13.6,107,759.13,3906.87,28.741408,77.261679,False,0.652
GK-10006,Chennai,T. Nagar,Zepto,Zomato,Scooter,11.5,39,546.77,2946.09,12.998553,80.155158,False,0.955
GK-10007,Chennai,Mylapore,Zomato,Swiggy,Bike,11.3,52,675.74,3566.07,12.943513,80.22801,False,0.773
GK-10008,Chennai,Guindy,Zomato,,Scooter,13.8,107,732.8,3713.71,13.126562,80.163274,False,0.598
GK-10009,Chennai,Tambaram,Zepto,Swiggy,Scooter,8.6,14,832.26,4606.67,12.966603,80.190702,True,0.914
GK-10010,Mumbai,Kurla,Zepto,,Scooter,8.2,77,530.42,3266.52,19.200549,72.829692,True,0.993
GK-10011,Chennai,Velachery,Swiggy,,Bike,7.6,102,720.16,4388.3,12.851657,80.272319,True,0.853
GK-10012,Delhi,Dwarka,Swiggy,Zomato,Scooter,12.2,39,668.93,3676.67,28.528967,77.272621,True,0.812
GK-10013,Delhi,Karol Bagh,Swiggy,Zepto,Scooter,6.5,30,606.48,3612.4,28.577746,77.165037,False,0.865
GK-10014,Mumbai,Kurla,Zepto,,Bicycle,13.1,13,544.33,3351.14,19.178311,72.918902,True,0.781
GK-10015,Mumbai,Dadar,Zepto,,Bike,10.0,24,688.63,3554.6,19.130683,72.87558,True,0.513
GK-10016,Delhi,Chandni Chowk,Zomato,,Bicycle,6.3,75,487.19,2735.85,28.627143,77.281513,True,0.625
GK-10017,Chennai,Guindy,Swiggy,Zomato,Bike,12.0,107,856.37,4488.95,12.918639,80.161547,False,0.645
GK-10018,Delhi,Chandni Chowk,Zomato,Swiggy,Bike,13.4,120,775.22,4913.99,28.717865,77.260734,True,0.593
GK-10019,Mumbai,Goregaon,Swiggy,,Scooter,10.3,54,873.73,4512.88,19.20186,72.936492,False,0.659
GK-10020,Mumbai,Powai,Swiggy,Zepto,Bike,7.8,35,891.06,5013.21,19.215183,72.820904,False,0.755
GK-10021,Mumbai,Thane,Zepto,Zomato,Bicycle,7.8,78,656.21,3599.18,19.029966,72.86389,False,0.971
GK-10022,Delhi,Pitampura,Zomato,Zepto,Bike,10.2,21,558.54,3209.3,28.742946,77.292489,False,0.626
GK-10023,Mumbai,Powai,Swiggy,Zomato,Bike,8.4,23,910.59,5239.55,19.07121,72.824795,False,0.805
GK-10024,Mumbai,Dadar,Zepto,Zomato,Bicycle,6.4,12,771.66,4999.18,19.05989,72.838836,True,0.745
GK-10025,Delhi,Chandni Chowk,Zepto,Zomato,Bicycle,7.9,36,661.15,4027.94,28.668034,77.252324,True,0.619
GK-10026,Mumbai,Andheri,Zepto,,Bike,8.9,91,910.78,4992.14,19.133944,72.831738,True,0.918
GK-10027,Mumbai,Kurla,Zepto,Zomato,Bike,7.5,41,908.85,4566.86,19.010194,72.896816,True,0.839
GK-10028,Delhi,Rohini,Zomato,Swiggy,Bicycle,10.1,116,797.36,5107.17,28.543592,77.238188,True,0.693
GK-10029,Mumbai,Kurla,Zepto,Swiggy,Bicycle,7.1,120,516.57,3262.66,19.085267,72.834752,True,0.962
GK-10030,Chennai,Anna Nagar,Zepto,,Bicycle,8.1,29,856.58,4402.52,13.01656,80.229448,False,0.621
GK-10031,Chennai,Guindy,Swiggy,,Bicycle,13.2,4,778.97,4302.89,13.120125,80.244965,False,0.67
GK-10032,Mumbai,Goregaon,Zomato,Swiggy,Bike,11.8,50,792.65,4684.28,19.021035,72.841012,False,0.949
GK-10033,Delhi,Saket,Swiggy,Zomato,Bicycle,6.1,14,882.56,4625.68,28.525368,77.2327,False,0.503
GK-10034,Chennai,Tambaram,Swiggy,,Bike,10.4,20,857.4,4705.5,12.917281,80.256827,True,0.619
GK-10035,Mumbai,Powai,Zepto,Swiggy,Scooter,12.0,71,898.77,5260.02,19.162408,72.930399,False,0.829
GK-10036,Mumbai,Malad,Swiggy,,Bicycle,6.7,92,494.52,3134.3,19.060997,72.946491,True,0.697
GK-10037,Chennai,Anna Nagar,Zomato,,Bicycle,11.0,51,584.23,3352.77,13.088443,80.225396,False,0.788
GK-10038,Delhi,Janakpuri,Zomato,Swiggy,Bike,7.6,32,555.55,3561.46,28.506079,77.229094,False,0.589
GK-10039,Chennai,Guindy,Swiggy,,Bicycle,13.6,33,846.58,5411.74,13.124459,80.205524,False,0.508
GK-10040,Mumbai,Borivali,Swiggy,Zomato,Bicycle,9.4,84,632.13,3321.36,19.096274,72.930648,False,0.658
GK-10041,Chennai,Mylapore,Swiggy,Zomato,Scooter,10.5,13,816.56,4201.83,13.130846,80.254404,False,0.785
GK-10042,Mumbai,Borivali,Zomato,,Scooter,10.9,31,858.61,4756.04,19.185192,72.910612,False,0.851
GK-10043,Mumbai,Dadar,Zepto,,Bicycle,8.3,64,707.7,4507.95,19.20234,72.925315,True,0.934
GK-10044,Chennai,Tambaram,Zomato,Swiggy,Bike,10.1,16,915.6,5800.33,13.044989,80.255295,True,0.898
GK-10045,Mumbai,Malad,Zomato,Zepto,Scooter,8.7,63,701.1,3543.3,19.093896,72.832218,True,0.789
GK-10046,Mumbai,Andheri,Zepto,,Bicycle,9.7,16,431.73,2691.36,19.147708,72.823965,True,0.519
GK-10047,Chennai,Porur,Zepto,Zomato,Bike,8.9,35,753.6,4011.96,12.888118,80.228336,True,0.885
GK-10048,Chennai,Mylapore,Zepto,Zomato,Bike,11.0,58,1058.36,6111.45,13.041229,80.258914,False,0.988
GK-10049,Chennai,Anna Nagar,Zomato,Swiggy,Bike,8.6,60,976.51,4997.47,13.088556,80.190625,False,0.719
GK-10050,Mumbai,Bandra,Swiggy,,Bicycle,6.2,111,584.23,3402.46,19.043324,72.840337,False,0.625
GK-10051,Chennai,Velachery,Swiggy,Zomato,Scooter,11.7,66,949.2,5796.62,13.048059,80.19199,True,0.977
GK-10052,Delhi,Saket,Zomato,Swiggy,Bike,10.4,52,500.98,2515.72,28.561933,77.171195,False,0.879
GK-10053,Chennai,Porur,Zomato,Zepto,Scooter,6.9,58,976.56,5913.55,12.863801,80.156109,True,0.928
